MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir,WindSpeed,Humidity,Pressure,Temp,RISK_MM,RainTomorrow
12,28.9,0,7.2,8.2,ESE,39,WNW,9,31,1009.1,28.6,1.8,Yes
16.3,24.8,1.8,7.8,3.8,S,50,N,7,56,1008.4,24,6.6,Yes
12.7,28.6,6.6,3.2,8.6,W,50,W,28,42,1002.3,27.4,0,No
12.7,25.1,0,7.8,12.4,NW,46,WNW,26,32,1005.4,24.5,0,No
12,23.8,0,10.4,12.4,NW,44,WNW,30,34,1007.2,22.9,0,No
11.5,25.9,0,5.2,10.2,ENE,44,WSW,7,35,1014.3,24.3,0,No
13,28.2,0,5,11.6,NW,44,NW,17,27,1014.4,27,0,No
11.7,27.6,0,7.8,8.1,W,48,W,30,25,1009.1,26.8,0,No
14.8,17.3,0,7.6,0.8,SSE,48,SE,13,78,1009.9,15.3,10.4,Yes
7.7,18.4,10.4,5.2,12,S,48,S,17,34,1014.5,16.8,0,No
4.4,21.8,0,6.2,12.1,S,35,SSE,15,31,1019.3,20,0,No
7.4,24.4,0,6.2,11.6,E,35,WNW,11,37,1023.2,22.1,0,No
8.3,27.3,0,5.6,10.1,E,35,WNW,9,28,1020.4,25.5,0,No
10.1,28.2,0,6,7.3,ESE,39,WNW,7,28,1018.2,27,0,No
12,27.6,0,6,11,E,46,WSW,6,35,1022.2,26.2,0,No
12.9,31.8,0,6,11.3,WSW,41,NNE,9,24,1019.3,30,0,No
10.8,29.2,0,8.4,7.5,E,50,ENE,9,34,1017.7,27.7,3,Yes
9.5,27.4,3,4.8,11.5,NNW,24,NNW,9,39,1020.7,24.9,0,No
12.1,27.8,0,5,11.5,E,41,NNE,11,33,1023.1,27,0,No
12.5,31.7,0,6.6,11.2,WNW,24,W,9,28,1020.4,30.1,0,No
13.9,34.7,0,6.4,8.5,SSW,46,ENE,7,18,1019.3,32.7,0.2,No
13.3,31.7,0.2,7.8,11,WNW,44,WSW,28,23,1017.6,30.7,0,No
13.2,33.1,0,8.6,9.7,ENE,39,NNW,7,18,1017.7,31.7,0,No
12.3,33.8,0,7.2,11.3,W,22,W,13,15,1019.1,32.7,0,No
13.8,35.2,0,6.4,11.2,SE,48,ESE,4,15,1019.3,34.1,0,No
11.3,32.3,0,9.4,11.4,NE,28,WNW,6,17,1020.7,30.5,0,No
11.7,30.2,0,7.8,11.2,NE,33,NNW,13,22,1020.6,28.8,0,No
12.5,29.9,0,5.8,10.7,NW,43,WNW,19,30,1018.8,29.2,0,No
15.1,26.2,0,9,9.8,NE,31,NNE,15,48,1018.7,24.5,0,No
11.5,29.3,0,5.2,8,NW,46,WSW,26,35,1009.4,27.6,0,No
13,14.8,0,8.2,0,SE,30,ESE,17,62,1019.3,13.9,0,No
11.6,19.6,0,2.8,1.6,E,33,ESE,17,64,1021.8,17.9,0,No
12.8,24.9,0,2.4,6.2,ENE,30,SW,7,44,1019.3,24.2,0.6,No
15.5,22.4,0.6,4.8,1.9,NW,28,WNW,19,68,1015.4,21.1,6.4,Yes
13.1,17.4,6.4,2.8,0,NNW,43,N,20,93,1006.5,16.6,19.8,Yes
12.6,20.2,19.8,2.6,9.1,W,46,W,20,50,1008.4,17.4,0,No
4.4,18.3,0,4.6,9.6,N,33,N,17,36,1012.6,17.4,0,No
4.4,18.2,0,3.6,11,W,31,WNW,19,35,1015,17.2,0,No
7.1,18.5,0,3.4,10,NW,57,NW,22,30,1011.3,18.2,0,No
4.2,18.9,0,6.4,10.8,WNW,50,WNW,31,34,1009.3,18.1,0,No
9.6,18.8,0,6.4,10,WNW,57,W,26,42,1013,16.5,0,No
3.5,21.8,0,6,10.3,NNW,22,WNW,11,34,1021.2,21.2,0,No
5.3,23.3,0,3.6,5.6,NNW,83,NW,37,26,1010.5,22.5,2.6,Yes
7,14.3,2.6,9.6,9.7,WNW,63,W,33,40,1012.7,13.7,0,No
0.4,18.9,0,4.8,9.6,N,22,WSW,7,33,1019.1,17.6,0,No
3.2,21.4,0,3.2,10.6,E,26,NNW,7,27,1022.3,20.5,0,No
5.9,21.8,0,2.8,9.3,E,35,NNW,11,35,1024.1,20.8,0,No
8.1,20.5,0,3.8,7.8,ENE,31,ENE,11,48,1024,19.5,0,No
6.9,18.9,0,4.2,4.1,ESE,39,SE,9,45,1025.4,17.8,0,No
5.6,19.5,0,2.8,6.8,SW,17,WNW,6,49,1021.8,18.6,0,No
7.2,22.9,0,2.2,9.5,E,26,N,6,28,1019.2,22.2,0,No
7.1,23.4,0,3.4,10.2,ESE,39,WSW,7,29,1016.9,22.4,0,No
6.1,24.1,0,4.6,6.1,WNW,35,WNW,11,32,1015.8,23.7,2,Yes
7.1,19.8,2,3.2,7.7,W,39,NW,15,56,1013.8,19.1,5.2,Yes
5.6,18,5.2,3.8,9.3,S,31,SSE,20,40,1019.6,17.9,0,No
5.4,20.7,0,3.2,10.8,SSE,28,S,9,36,1023.9,20.4,0,No
6.3,19.3,0,3.4,10.6,S,31,SE,13,39,1024.4,18.8,0,No
5.3,21,0,4.6,6.3,WNW,26,NW,7,44,1023.3,20.4,0,No
7.9,19.7,0,3.2,8.3,ESE,48,ENE,11,43,1024.1,19.1,0,No
8.4,16.1,0,3,4.9,SE,35,ESE,22,51,1027.4,15.2,0,No
8.1,18.7,0,4.4,7.1,ESE,33,ESE,30,65,1024.2,15.6,0,No
2.4,20.6,0,2.8,10.1,E,30,SSE,7,34,1021,19.8,0,No
5.6,18.9,0,3.8,8,SE,33,E,22,49,1023.5,17.7,0,No
7.5,19,0,4,6.8,ENE,26,ESE,7,43,1022.2,18.1,0,No
2.5,21.2,0,2,7.9,NE,28,NE,9,55,1019.8,17.6,0,No
5,20.9,0,2,8.9,WNW,22,NW,7,42,1014.3,20.6,0.2,No
3.8,21.7,0.2,2.8,6.5,NW,44,WNW,20,34,1006.7,20.2,0,No
7.9,18.7,0,5.8,5.8,NW,59,NW,31,51,997.7,16.6,7.2,Yes
4.3,11.3,7.2,4.4,5.6,W,57,WNW,22,60,1008.1,8.8,0.2,No
-2.1,13.8,0.2,1.8,9.5,NNW,22,NNW,9,40,1019.6,13.2,0,No
-1.8,14.8,0,1.4,7,N,28,N,19,40,1020.5,13.9,0,No
3.8,13.8,0,2.8,0.8,WNW,31,NNW,26,54,1018.5,12.4,0,No
2.1,17.3,0,1.6,9.2,W,43,WNW,28,38,1017.3,15.9,0,No
0.5,17.1,0,4,9.4,NW,31,W,13,42,1017.4,16.2,0,No
-0.9,16.7,0,2.4,9.3,NNW,30,NNW,15,42,1018.5,15.4,0,No
0.4,19,0,3.4,8.3,NW,39,WNW,19,41,1015.8,18.5,0,No
7.5,16.8,0,2.8,3,NW,41,NW,26,53,1013.8,15.4,0,No
8.3,17.6,0,3.4,9.4,WNW,43,WNW,30,43,1013.5,16.5,0,No
-0.2,18.1,0,4.4,9.4,NW,24,NW,9,44,1018.9,16.9,0,No
0.1,21,0,2.2,9.2,NNW,17,N,9,36,1020.3,20.7,0,No
1.5,20.9,0,2.4,9.3,NW,20,NNW,9,41,1020,20.9,0,No
8.3,17.4,0,2,1.6,E,20,NE,11,52,1021.5,17.2,0,No
9.4,19.2,0,2.2,7.7,NA,24,NNW,15,47,1020.3,18.8,0,No
1.3,19,0,2.2,9.4,NNW,30,NW,15,34,1021.4,18.6,0,No
2.2,18.6,0,2,9.2,NNW,31,NNW,20,44,1021,17.8,0,No
-0.4,17.9,0,2.4,8.7,NW,33,NW,20,40,1018.7,17.7,1.8,Yes
4.5,16,1.8,3,4.3,NW,35,NW,15,69,1013.7,15.2,1,No
7.9,12.3,1,1.8,1.7,NW,52,NW,24,78,1005.9,7.3,0.8,No
4.3,14.1,0.8,1.6,8.8,NW,41,WNW,26,53,1008.3,13.3,0,No
-2.7,18.1,0,2.2,9.3,W,52,WNW,24,36,1014.3,16.7,0,No
0.3,17,0,2.2,5.6,WNW,31,WNW,24,52,1018.6,16.2,0,No
3.8,17.4,0,2.6,7.3,E,24,W,7,47,1022.9,16.6,0,No
2.4,14.7,0,2.6,9.2,ESE,20,E,6,43,1026,13.8,0,No
1.2,14.8,0,2.4,6.7,SE,17,SSW,6,49,1024.8,14.5,0,No
1.2,14.5,0,1.2,8.9,SE,17,SSW,6,43,1023.5,13.9,0,No
-0.3,17.5,0,1.6,8.4,W,39,NNW,15,48,1021.8,17.2,3.8,Yes
4.7,18.5,3.8,2,5.1,ESE,22,W,6,50,1023.1,17.9,5.2,Yes
4.9,18.1,5.2,1.2,8.5,NNW,22,NW,13,55,1022.3,17.7,0,No
1.4,16.8,0,1.6,8.2,NW,20,NW,6,50,1024.7,16.3,0.2,No
2.2,17.5,0.2,1.2,8.5,NW,20,WNW,7,45,1029.6,17.3,0,No
-0.1,18,0,2,8.6,NA,NA,NNW,15,46,1028.7,17.4,0,No
-0.9,18.5,0,2.2,8.9,E,22,N,7,38,1027.4,18.2,0,No
0.6,14,0,2.2,2.7,NE,17,ENE,7,67,1028.9,13.9,0,No
4.6,15.7,0,1,0.6,NNE,15,NNE,6,67,1027.1,15.5,0.8,No
9.8,14.4,0.8,0.6,0,ESE,20,ESE,11,86,1027.2,13.6,3.8,Yes
10.6,15.1,3.8,0.2,2.6,SSE,41,SE,20,65,1025.7,13.3,0,No
7.8,15.1,0,2.2,2.7,S,31,S,20,65,1023.4,14.8,0,No
4.4,16.7,0,1.6,9,S,22,NNE,4,42,1022.1,16.2,0,No
-0.2,15.5,0,1.4,9,NE,28,ESE,11,42,1027,14.5,0,No
4.3,14.5,0,2,3,E,30,ENE,13,70,1031.7,13,0,No
7.4,16.3,0,1.2,NA,NNE,30,NE,19,65,1027.9,14.5,6.2,Yes
8.6,13.7,6.2,2.2,0,NW,31,NA,0,94,1024.3,11.6,4.8,Yes
10.2,15,4.8,0.2,0.5,NW,46,NW,17,65,1022.1,13.7,0.2,No
7.3,16.4,0.2,1.2,8.5,NW,43,WNW,24,48,1019.7,14.7,0.6,No
8.7,13,0.6,3.2,7.1,WNW,54,WNW,28,58,1014.1,11.1,0,No
1,11.8,0,2.2,7.2,S,48,S,24,49,1025.6,11,0,No
2.1,14.7,0,2.6,8.2,S,43,SSW,26,57,1026.3,13.8,0,No
6.4,16.9,0,2.6,5.9,SSW,26,ESE,9,51,1024.8,16,0,No
5.4,15.5,0,1.6,5.8,NNE,20,NNE,7,58,1025.5,14.9,0,No
0.4,15.5,0,1,4.7,N,13,NNW,9,70,1023.5,15,0,No
4,15.9,0,0.6,2,NNW,17,SSE,7,63,1019.7,14.8,4.8,Yes
8.4,11.7,4.8,0.6,0,W,26,WNW,7,86,1019.2,11.3,0.6,No
0.4,13.9,0.6,0.8,7.7,WNW,41,WNW,19,59,1021,12.1,0,No
4.2,14,0,1.4,7.6,NW,33,SE,9,44,1025.7,12.5,0,No
0.9,12.9,0,2,6.8,NW,24,N,15,53,1022.1,12.3,0,No
0.8,13,0,1.4,4.1,WNW,41,NW,28,69,1024.2,11.7,0,No
4.3,12.6,0,2,9,NW,46,WNW,28,54,1021.9,11.3,0,No
6.3,11.8,0,2.6,6.5,WNW,63,WNW,28,48,1020.4,11.5,0,No
3.5,14.3,0,3.4,8.9,NNW,35,NNW,24,51,1025,12.7,0,No
-1.5,14.8,0,2.2,8,NW,15,NW,9,41,1026,14.5,0,No
1.2,16,0,1.4,6.1,NNW,31,N,22,38,1020.9,14.6,0,No
0.5,15.4,0,2.4,6.4,W,70,NNW,28,68,1010.2,12.9,2,Yes
5.3,11.7,2,3.6,5.6,NW,78,W,33,56,1012.3,11.1,0.2,No
6.6,13.1,0.2,2.8,8.2,WNW,61,WNW,30,53,1014,12.3,0,No
-1.6,11.5,0,2.8,8.9,N,31,NNW,20,53,1021.9,11.1,0,No
-3.1,12,0,1.8,3.9,ESE,35,NE,13,52,1030,10.2,0,No
-0.1,14.2,0,1.4,7,W,13,WNW,2,55,1028.9,12.6,0,No
-0.6,14,0,1.2,7.1,NW,41,NNW,22,59,1026.3,13.6,0.8,No
3,11.1,0.8,1.4,0.2,W,35,N,13,96,1021.1,8.6,16.8,Yes
2.9,9.5,16.8,1.4,6.5,NW,35,NW,15,72,1019.6,7.4,0,No
-1.3,8.8,0,0.8,2.8,WNW,39,NW,15,68,1016.8,8,0,No
1.8,8.7,0,1.8,1.2,NW,65,NW,35,85,1010.5,6.9,1.6,Yes
2.9,8.4,1.6,1.4,7.7,NW,59,WNW,31,66,1018.2,7.1,0.2,No
-2.6,11.1,0.2,1.4,6.5,N,20,NNW,7,54,1022.7,9.9,0,No
0.5,11,0,1,0.9,NNW,31,NW,15,69,1021.9,10.7,0,No
2.7,16.5,0,0.6,8.9,NNW,41,NNW,22,51,1019,15.9,0,No
-1.7,13.6,0,1.8,5.2,NNW,28,NNW,17,46,1020.1,13.3,0.2,No
-0.9,12.8,0.2,2,1.9,N,17,NNW,9,62,1020.8,12.1,0,No
-1.8,11.5,0,0.6,4.7,NNW,41,NNW,24,55,1013.9,11,0,No
1.3,10.6,0,0.8,5.6,NW,46,WNW,33,73,1009.4,8.2,1.2,Yes
2.4,11.6,1.2,2.2,8.1,NW,35,NW,22,48,1014.9,10.7,0.2,No
-1.1,11,0.2,1.8,0,WNW,41,NE,6,87,1009,8.7,19.2,Yes
2.3,11.6,19.2,1.8,7.5,WNW,54,WNW,31,56,1010.3,11.2,0,No
-2.2,11.6,0,1.4,9.2,S,39,SSW,28,33,1025.8,11,0,No
-3.5,11.2,0,1.6,7.7,ESE,26,ESE,11,48,1031.1,10.1,0,No
-1,12.2,0,1.6,8.4,ESE,30,E,13,51,1027.4,10.8,0,No
-2.1,12.9,0,1.2,8.1,S,31,SE,13,25,1020.9,12.3,0.2,No
-2,11.3,0.2,2.2,5.9,WNW,33,WNW,19,50,1015.3,10.9,0,No
-2.3,9.7,0,1.4,1.9,SSE,28,WSW,13,66,1010,7.8,1.4,Yes
-1.6,10.7,1.4,0.8,9.1,S,59,S,37,56,1014.9,9.6,0,No
0.8,12.2,0,1.8,8.6,NA,NA,S,22,49,1016.8,11.2,0,No
-2.8,12.2,0,2.6,8.7,NNW,31,NNW,15,48,1014.6,11.5,0,No
-2.8,14.1,0,2.2,6.8,WNW,48,WNW,26,38,1012.9,12.8,1,No
3,9.7,1,2.6,0.7,W,65,NW,28,82,1001.3,8.6,6.6,Yes
4.4,11.5,6.6,2.2,9.3,WNW,57,WNW,31,56,1014.9,10.5,0,No
2.3,12.8,0,2.2,9.6,WNW,35,WNW,24,48,1018.1,11.6,0,No
-2,12.3,0,2.4,5.8,W,31,W,19,60,1018.3,9.1,0,No
-1.9,10.9,0,1.8,4.2,S,50,SSW,26,72,1019.2,7.2,4,Yes
4.8,14.1,4,1.6,8.3,S,48,SSE,22,48,1017.6,13.6,0,No
-0.6,11.1,0,3,5,NNW,41,N,26,78,1015.9,5.7,1.2,Yes
3.1,12.5,1.2,1.4,7.2,N,43,N,30,62,1019.1,11.3,0,No
-2.9,9.6,0,1.8,7.3,NW,43,NW,24,70,1019,8.1,0.4,No
-3.5,7.6,0.4,2.4,4.7,NW,50,NW,24,68,1012.6,5.1,0.4,No
-0.3,9.3,0.4,1.4,9.9,N,39,N,30,60,1016.6,8.3,0,No
0.1,10.4,0,1.8,7.9,WNW,59,WNW,24,63,1020.1,8.6,0,No
2.3,12.2,0,2.8,9.8,WNW,44,NW,30,41,1022.4,10.4,0,No
2.1,10.7,0,3.4,9.4,NW,59,WNW,39,45,1018.2,9.5,0,No
4.6,14.7,0,4.4,8.4,WNW,52,NW,33,51,1012.4,12,0,No
3.7,14.2,0,3,10,NNW,46,WSW,28,27,1011.8,13.5,0,No
-1.3,11.6,0,4,10.4,N,30,NNW,17,35,1022,10.8,0,No
-3.4,12.5,0,3,6.8,SSE,48,WNW,30,30,1021.8,11.2,0,No
-5.3,13.1,0,2.2,7.9,NW,33,NNW,20,47,1025.6,12.2,0,No
0,14,0,2.4,4.7,WNW,39,WNW,24,36,1024.4,12.4,0,No
2.4,14.1,0,3,1.8,NW,46,NW,30,27,1017.8,13.2,0,No
-0.6,12.2,0,2.6,7,S,59,S,26,44,1016.8,10.7,0,No
2.3,11.6,0,5.4,9.5,S,54,ESE,17,38,1025.5,11.1,0,No
-3.7,14.4,0,2.6,10.4,NNW,22,NNW,11,28,1028,14,0,No
-0.9,14.2,0,2.6,7.8,WNW,31,N,19,34,1024.4,12.8,0,No
-1.5,17.3,0,2.8,9,NW,48,WNW,26,23,1020.3,15.8,0,No
-3.3,15.1,0,3,NA,SSW,30,SE,13,23,1025.5,14.4,0,No
-0.1,14.7,0,3.4,9.9,ENE,30,NE,15,43,1025.9,12.3,0,No
-0.2,16.2,0,3.4,5.9,E,28,ENE,20,45,1022.9,14.6,0,No
0.5,16.3,0,1.8,4.1,NNW,39,WSW,6,45,1017.5,15.4,4,Yes
6.1,17.2,4,2.2,2.4,NW,59,WNW,15,85,1010.4,12.6,7.4,Yes
4.1,14.8,7.4,2.6,10.8,NW,46,W,28,34,1021.7,14.3,0,No
0.1,16.7,0,3.8,10.2,WNW,28,NNE,13,44,1024.8,14.9,0,No
3.2,12.1,0,2.8,3.9,ESE,41,SE,20,51,1033.2,11.1,0.2,No
5.4,11.3,0.2,2.2,0.6,ENE,35,ESE,17,61,1031.9,10.2,0,No
5.8,12.4,0,1.6,0,SE,26,ESE,13,73,1023.5,10.8,0,No
6.3,16.1,0,1.8,2.9,S,35,S,24,33,1016.2,15.7,0,No
-0.9,16.7,0,2.8,8.6,NW,35,NW,22,33,1013.9,15.5,1,No
0.2,15.5,1,2.4,9.4,SE,31,WNW,11,37,1018.2,15.3,0,No
-3.7,14.7,0,3.4,10.9,SSE,43,N,22,25,1020.9,13.4,0,No
-2.7,15.2,0,4,9.7,N,30,WNW,20,35,1017.9,14.9,0,No
-2.5,16.6,0,3,9.9,NW,31,N,20,20,1013.9,16.3,0,No
